Week;Song;Performer;SongID;Peak Position
15-12-2001;#1;Nelly;#1Nelly;22
22-6-2013;#Beautiful;Mariah Carey Featuring Miguel;#BeautifulMariah Carey Featuring Miguel;15
5-4-2014;#SELFIE;The Chainsmokers;#SELFIEThe Chainsmokers;16
11-5-2013;#thatPOWER;will.i.am Featuring Justin Bieber;#thatPOWERwill.i.am Featuring Justin Bieber;17
10-10-2015;$ave Dat Money;Lil Dicky Featuring Fetty Wap & Rich Homie Quan;$ave Dat MoneyLil Dicky Featuring Fetty Wap & Rich Homie Quan;71
16-9-2000;(Hot S**t) Country Grammar;Nelly;(Hot S**t) Country GrammarNelly;7
27-12-2003;(I Hate) Everything About You;Three Days Grace;(I Hate) Everything About YouThree Days Grace;55
3-12-2005;(I Never Promised You A) Rose Garden;Martina McBride;(I Never Promised You A) Rose GardenMartina McBride;98
21-11-2009;(If You're Wondering If I Want You To) I Want You To;Weezer;(If You're Wondering If I Want You To) I Want You ToWeezer;81
28-5-2011;(It) Feels So Good;Steven Tyler;(It) Feels So GoodSteven Tyler;35
18-12-2010;(I've Had) The Time Of My Life;Glee Cast;(I've Had) The Time Of My LifeGlee Cast;38
18-8-2012;(Kissed You) Good Night;Gloriana;(Kissed You) Good NightGloriana;34
13-11-2004;(Reach Up For The) Sunrise;Duran Duran;(Reach Up For The) SunriseDuran Duran;89
13-12-2003;(There's Gotta Be) More To Life;Stacie Orrico;(There's Gotta Be) More To LifeStacie Orrico;30
5-1-2019;(There's No Place Like) Home For The Holidays;Perry Como;(There's No Place Like) Home For The HolidaysPerry Como;32
9-9-2006;(When You Gonna) Give It Up To Me;Sean Paul Featuring Keyshia Cole;(When You Gonna) Give It Up To MeSean Paul Featuring Keyshia Cole;3
1-1-2000;(You Drive Me) Crazy;Britney Spears;(You Drive Me) CrazyBritney Spears;10
19-5-2007;(You Want To) Make A Memory;Bon Jovi;(You Want To) Make A MemoryBon Jovi;27
13-12-2014;***Flawless;Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie;***FlawlessBeyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie;41
23-9-2017;...Ready For It?;Taylor Swift;...Ready For It?Taylor Swift;4
2-5-2020;@ MEH;Playboi Carti;@ MEHPlayboi Carti;
20-9-2014;0 To 100 / The Catch Up;Drake;0 To 100 / The Catch UpDrake;35
28-12-2002;'03 Bonnie & Clyde;Jay-Z Featuring Beyonce Knowles;'03 Bonnie & ClydeJay-Z Featuring Beyonce Knowles;4
26-11-2016;1 Night;Lil Yachty;1 NightLil Yachty;49
23-4-2005;1 Thing;Amerie;1 ThingAmerie;8
28-9-2019;1, 2 Many;Luke Combs & Brooks & Dunn;1, 2 ManyLuke Combs & Brooks & Dunn;97
8-1-2005;1, 2 Step;Ciara Featuring Missy Elliott;1, 2 StepCiara Featuring Missy Elliott;2
23-5-2009;1, 2, 3, 4;Plain White T's;1, 2, 3, 4Plain White T's;34
5-1-2019;1.5;21 Savage;1.521 Savage;86
11-6-2011;1+1;Beyonce;1+1Beyonce;57
7-3-2015;10 Bands;Drake;10 BandsDrake;58
17-11-2018;10 Freaky Girls;Metro Boomin Featuring 21 Savage;10 Freaky GirlsMetro Boomin Featuring 21 Savage;42
19-10-2019;10,000 Hours;Dan + Shay & Justin Bieber;10,000 HoursDan + Shay & Justin Bieber;4
29-8-2015;100 Grandkids;Mac Miller;100 GrandkidsMac Miller;100
22-5-2004;100 Years;Five For Fighting;100 YearsFive For Fighting;28
31-10-2015;100;The Game Featuring Drake;100The Game Featuring Drake;82
13-10-2007;1234;Feist;1234Feist;8
