Datum;Klantnaam;Klachtadres;Klachtadres PC4;Klachtadres-Plaats;Registratieweek;Product / Dienst;Route
maandag 22 februari 2021;Supermarkt Renswoude B.V.;Dorpsplein 14;3927 WC;RENSWOUDE;08.2021;Haalservice Retailer;
maandag 22 februari 2021;Hornbach onlineshop/FCA;Utrechtsestraatweg 220;3911 TX;RHENEN;08.2021;Haalservice;ED-5105
maandag 22 februari 2021;The Readshop Express;De Biezenkamp 164;3831 JA;Leusden;08.2021;Haalservice Retailer;AMF-5504
maandag 22 februari 2021;Niet toegewezen;Wederik 1;3831 AW;LEUSDEN;08.2021;Oranje brievenbus;AMF-8005
maandag 22 februari 2021;Justu Justus;Fahrenheitstraat 70;3846 CD;HARDERWIJK;08.2021;Oranje brievenbus;AMF-5004
dinsdag 23 februari 2021;Jumbo (3540) AMERSFOORT;Emiclaerhof 248;3823 ET;AMERSFOORT;08.2021;Hulpmiddelen - Logistiek;
dinsdag 23 februari 2021;Herenkapsalon Andre Brundel;Hamseweg 46;3828 AE;HOOGLAND;08.2021;Hulpmiddelen - Logistiek;AMF-5155
dinsdag 23 februari 2021;Zorgeloosch B.V.;Berencamperweg 8;3861 MC;NIJKERK GLD;08.2021;Brengservice;AMF-1004
dinsdag 23 februari 2021;Supertank Zeewolde;Landbouwweg 18;3899 BE;ZEEWOLDE;08.2021;Haalservice Retailer;AMF-5007
woensdag 24 februari 2021;Jumbo (3540) AMERSFOORT;Emiclaerhof 248;3823 ET;AMERSFOORT;08.2021;Hulpmiddelen - Logistiek;
donderdag 25 februari 2021;Gemeente Helmond;Kernreactorstraat 52;3903 LG;VEENENDAAL;08.2021;Haalservice;ED-5501
donderdag 25 februari 2021;ATPS B.V.;Pascalstraat 20;6716 AZ;EDE GLD;08.2021;Haalservice;ED-5152
donderdag 25 februari 2021;BATACH wijnen, wijngeschenken & wijneducatie;Bonnetstraat 41;6718 XN;EDE GLD;08.2021;Hulpmiddelen - Logistiek;
donderdag 25 februari 2021;Brussaard Boeken en Tijdschriften V.O.F.;Cruquius 57;3825 MJ;Amersfoort;08.2021;Haalservice Retailer;
zaterdag 27 februari 2021;Bruna Lucas Communicatie;Hoofdstraat 29;3901 AB;VEENENDAAL;08.2021;Haalservice Retailer;AMF-5502
maandag 1 maart 2021;Primera Scherpenzeel;Dorpsstraat 245;3925 KC;SCHERPENZEEL (GLD);09.2021;Haalservice Retailer;ED-5105
maandag 1 maart 2021;L. Hoek V.O.F.;Edeseweg 118;6733 AH;Wekerom;09.2021;Haalservice Retailer;ED-1153
maandag 1 maart 2021;V.O.F. van Drie - van der Greft;Hoogstraat 73;6701 BP;WAGENINGEN;09.2021;Haalservice Retailer;ED-1051
